taxon,min,max
Acanthognathus_ocellatus,0,0
Acanthoponera_goeldii,0,0
Acanthoponera_minor,0,0
Acanthostichus_kirbyi,0,0
Acromyrmex_versicolor,0,0
Acropyga_acutiventris,0,0
Acropyga_ayanganna,0,0
Acropyga_donisthorpei,0,0
Acropyga_epedana,0,0
Acropyga_sp._CF01,0,0
Adetomyrma_caputleae,0,0
Adetomyrma_sp._MAD02,0,0
Aenictogiton_sp._ZAM02,0,0
Aenictus_ceylonicus,0,0
Aenictus_eugenii,0,0
Aglyptacros_cf._sulcatus,0,0
Agraulomyrmex_meridionalis,0,0
Agraulomyrmex_sp._TZ01,0,0
Alloformica_aberrans,0,0
Alloformica_flavicornis,0,0
Amblyopone_australis,0,0
Amblyopone_mutica,0,0
Amblyopone_pallipes,0,0
Ampulex_compressa,0,0
Aneuretus_simoni,0,0
Aneuretus_simoni_1,0,0
Anillidris_bruchi,0,0
Ankylomyrma_coronacantha,0,0
Anochetus_madagascarensis,0,0
Anomalomyrma_boltoni,0,0
Anonychomyrma_dimorpha,0,0
Anonychomyrma_dimorpha_1,0,0
Anonychomyrma_gilberti,0,0
Anonychomyrma_itinerans,0,0
Anonychomyrmex_scrutator,0,0
Anoplolepis_custodiens,0,0
Anoplolepis_gracilipes,0,0
Aphaenogaster_albisetosa,0,0
Aphaenogaster_boulderensis,0,0
Aphaenogaster_occidentalis,0,0
Aphaenogaster_swammerdami,0,0
Aphomomyrmex_afer,0,0
Apis_mellifera,0,0
Apomyrma_sp._CF02,0,0
Apomyrma_stygia,0,0
Aporus_niger,0,0
Apterogyna_sp._za01,0,0
Apterostigma_auriculatum,0,0
Aptinoma_antongil,0,0
Aptinoma_mangabe,0,0
Arnoldius_flavus,0,0
Arnoldius_sp._AU01,0,0
Asphinctopone_silvestrii,0,0
Aulacopone_relicta,0,0
Axinidris_gabonica,0,0
Axinidris_hypoclinoides,0,0
Axinidris_mlalu,0,0
Axinidris_murielae,0,0
Azteca_adrepens,0,0
Azteca_adrepens_1,0,0
Azteca_beltii,0,0
Azteca_beltii_1,0,0
Azteca_instabilis,0,0
Azteca_ovaticeps,0,0
Azteca_schimperi,0,0
Bajcaridris_theryi,0,0
Basiceros_manni,0,0
Belonopelta_sp._HN01,0,0
Bothriomyrmex_enigmaticus,0,0
Bothriomyrmex_paradoxus,0,0
Bothriomyrmex_salsurae,0,0
Bothriomyrmex_saundersi,0,0
Bothroponera_wasmannii,0,0
Brachycistis_sp.,0,0
Brachymyrmex_admotus,0,0
Brachymyrmex_aphidicola,0,0
Brachymyrmex_depilis,0,0
Brachymyrmex_sp._BR01,0,0
Brachyponera_obscurans,0,0
Calomyrmex_albertisi,0,0
Calomyrmex_laevissimus,0,0
Calomyrmex_splendidus,0,0
Camponotus_cf._bedoti_BBB_2015,0,0
Camponotus_aberrans,0,0
Camponotus_abscisus,0,0
Camponotus_absquatulator,0,0
Camponotus_aequitas,0,0
Camponotus_alboannulatus,0,0
Camponotus_amphidus,0,0
Camponotus_apicalis,0,0
Camponotus_aureus,0,0
Camponotus_claviscapus,0,0
Camponotus_conithorax,0,0
Camponotus_gibbinotus,0,0
Camponotus_hyatti,0,0
Camponotus_maritimus,0,0
Camponotus_sericeiventris,0,0
Camponotus_sp._BCA01,0,0
Camponotus_sp._MG001,0,0
Camponotus_sp._MG089,0,0
Camponotus_sp._MG131,0,0
Camponotus_sp._near_vicinus_15202,0,0
Camponotus_vitiensis,0,0
Cardiocondyla_mauritanica,0,0
Cataglyphis_abyssinica,0,0
Cataglyphis_bombycina,0,0
Cataglyphis_cursor,0,0
Cataulacus_sp._MAD02,0,0
Centromyrmex_angolensis,0,0
Centromyrmex_sellaris,0,0
Cerapachys_augustae,0,0
Cerapachys_jacobsoni,0,0
Cerapachys_larvatus,0,0
Cerapachys_sexspinus,0,0
Chalybion_californicum,0,0
Cheliomyrmex_cf._morosus,0,0
Chronoxenus_dalyi,0,0
Chronoxenus_javanus,0,0
Chyphotes_mellipes,0,0
Cladomyrma_nudidorsalis,0,0
Cladomyrma_petalae,0,0
Colobopsis_bryani,0,0
Colobopsis_cerberula,0,0
Colobopsis_explodens,0,0
Colobopsis_saundersi,0,0
Concoctio_concenta,0,0
Crematogaster_emeryana,0,0
Crematogaster_kelleri,0,0
Cryptopone_gilva,0,0
Cryptopone_hartwigi,0,0
Ctenobethylus_goepperti,33.9,47.8
Cylindromyrmex_striatus,0,0
Cyphomyrmex_cf._longiscapus_SGB-2014,0,0
Daceton_armigerum,0,0
Dasymutilla_aureola,0,0
Diacamma_pallidum,0,0
Diaphoromyrma_sofiae,0,0
Dinomyrmex_gigas,0,0
Dinoponera_longipes,0,0
Discothyrea_sp._MAD07,0,0
Discothyrea_sp._MG07,0,0
Discothyrea_sp._SC02,0,0
Discothyrea_sp._SC03,0,0
Discothyrea_testacea,0,0
Doleromyrma_darwiniana,0,0
Dolichoderus_affinis,0,0
Dolichoderus_andinus,0,0
Dolichoderus_angusticornis,0,0
Dolichoderus_debilis,0,0
Dolichoderus_decollatus,0,0
Dolichoderus_erectilobus,0,0
Dolichoderus_lamellosus,0,0
Dolichoderus_pustulatus,0,0
Dolichoderus_scabridus,0,0
Dolichoderus_tertiarius,41.3,47.8
Dorylus_helvolus,0,0
Dorylus_laevigatus,0,0
Dorymyrmex_bicolor,0,0
Dorymyrmex_ensifer,0,0
Dorymyrmex_planidens,0,0
Echinopla_australis,0,0
Echinopla_circulus,0,0
Echinopla_mezgeri,0,0
Echinopla_nr._striata_BBB-2015,0,0
Eciton_vagans,0,0
Ecphorella_wellmani,0,0
Ectatomma_brunneum,0,0
Ectatomma_opaciventre_,0,0
Ectomomyrmex_leeuwenhoeki,0,0
Electrolasius_pumilus,0,0
Emeryopone_sp._MY01,0,0
Euponera_brunoi,0,0
Euponera_sikorae,0,0
Euprenolepis_procera,0,0
Eurhopalothrix_bolaui,0,0
Eutetramorium_mocquerysi,0,0
Fisheropone_ambigua,0,0
Forelius_chalybaeus,0,0
Forelius_mccooki,0,0
Forelius_pruinosus,0,0
Forelophilus_cf._philippinensis_BBB-2015,0,0
Formica_accreta,0,0
Formica_lasioides,0,0
Formica_moki,0,0
Formica_neogagates,0,0
Formica_rufa,0,0
Formicinae_sp._Genus_01_ZA02,0,0
Formicinae_sp._Genus_01_ZA03,0,0
Froggattella_kirbii,0,0
Gesomyrmex_chaperi,23,47.8
Gesomyrmex_chaperi_1,0,0
Gesomyrmex_hoernesi,0,0
Gesomyrmex_sp._KH01,0,0
Gesomyrmex_sp._TH01,0,0
Gigantiops_destructor,0,0
Glaphyromyrmex_oligocenicus,33.9,47.8
Gnamptogenys_acuminata,0,0
Gnamptogenys_alfaroi,0,0
Gnamptogenys_bicolor,0,0
Gnamptogenys_caelata,0,0
Gnamptogenys_macretes,0,0
Gnamptogenys_minuta,0,0
Gnamptogenys_striatula,0,0
Gracilidris_humiloides,0,0
Gracilidris_pombero,0,0
Harpegnathos_saltator,0,0
Heteroponera_brounii,0,0
